position,reads,tRL,tLR,fwd strand,rev strand,Normalized Reads,Normalized Fwd Reads,Normalized Rev Reads
13,18,0.0,0.0,18.0,0.0,18.0,18.0,0.0
23,20,0.0,0.0,3.0,17.0,20.0,3.0,17.0
24,19,0.0,0.0,8.0,11.0,19.0,8.0,11.0
26,2,0.0,0.0,2.0,0.0,2.0,2.0,0.0
27,9,0.0,0.0,0.0,9.0,9.0,0.0,9.0
29,17,0.0,0.0,0.0,17.0,17.0,0.0,17.0
33,2,0.0,0.0,0.0,2.0,2.0,0.0,2.0
35,324,0.0,0.0,2.0,322.0,324.0,2.0,322.0
37,18,0.0,0.0,0.0,18.0,18.0,0.0,18.0
38,13,0.0,0.0,0.0,13.0,13.0,0.0,13.0
40,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
41,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
42,61,0.0,0.0,0.0,61.0,61.0,0.0,61.0
44,15,0.0,0.0,0.0,15.0,15.0,0.0,15.0
46,2,0.0,0.0,0.0,2.0,2.0,0.0,2.0
52,4,0.0,0.0,0.0,4.0,4.0,0.0,4.0
53,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
57,3,0.0,0.0,0.0,3.0,3.0,0.0,3.0
62,2,0.0,0.0,2.0,0.0,2.0,2.0,0.0
69,9,0.0,0.0,7.0,2.0,9.0,7.0,2.0
87,5,0.0,0.0,0.0,5.0,5.0,0.0,5.0
107,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0
116,10,0.0,0.0,10.0,0.0,10.0,10.0,0.0
125,12,0.0,0.0,12.0,0.0,12.0,12.0,0.0
129,4,0.0,0.0,4.0,0.0,4.0,4.0,0.0
132,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0
142,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0
176,10,0.0,0.0,8.0,2.0,10.0,8.0,2.0
191,2,0.0,0.0,0.0,2.0,2.0,0.0,2.0
207,2,0.0,0.0,2.0,0.0,2.0,2.0,0.0
228,2,0.0,0.0,0.0,2.0,2.0,0.0,2.0
236,3,0.0,0.0,1.0,2.0,3.0,1.0,2.0
277,4,0.0,0.0,0.0,4.0,4.0,0.0,4.0
309,4,0.0,0.0,0.0,4.0,4.0,0.0,4.0
322,2,0.0,0.0,0.0,2.0,2.0,0.0,2.0
339,4,0.0,0.0,0.0,4.0,4.0,0.0,4.0
356,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0
361,6,0.0,0.0,6.0,0.0,6.0,6.0,0.0
368,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
417,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
423,36,0.0,0.0,0.0,36.0,36.0,0.0,36.0
429,7,0.0,0.0,0.0,7.0,7.0,0.0,7.0
480,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
485,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
488,8,0.0,0.0,8.0,0.0,8.0,8.0,0.0
526,8,0.0,0.0,8.0,0.0,8.0,8.0,0.0
529,2,0.0,0.0,2.0,0.0,2.0,2.0,0.0
