position,reads,tRL,tLR,fwd strand,rev strand,Normalized Reads,Normalized Fwd Reads,Normalized Rev Reads
13,2,0.0,0.0,2.0,0.0,2.25,2.25,0.0
18,3,0.0,0.0,3.0,0.0,3.38,3.38,0.0
23,42,0.0,0.0,40.0,2.0,47.25,45.0,2.25
24,19,0.0,0.0,2.0,17.0,21.38,2.25,19.13
27,13,0.0,0.0,0.0,13.0,14.63,0.0,14.63
28,10,0.0,0.0,10.0,0.0,11.25,11.25,0.0
29,7,0.0,0.0,0.0,7.0,7.88,0.0,7.88
32,11,0.0,0.0,0.0,11.0,12.38,0.0,12.38
33,5,0.0,0.0,0.0,5.0,5.63,0.0,5.63
34,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
35,279,0.0,0.0,0.0,279.0,313.89,0.0,313.89
37,14,0.0,0.0,0.0,14.0,15.75,0.0,15.75
40,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
41,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
42,6,0.0,0.0,0.0,6.0,6.75,0.0,6.75
43,10,0.0,0.0,0.0,10.0,11.25,0.0,11.25
44,12,0.0,0.0,0.0,12.0,13.5,0.0,13.5
46,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
52,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
62,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
65,3,0.0,0.0,3.0,0.0,3.38,3.38,0.0
75,6,0.0,0.0,3.0,3.0,6.75,3.38,3.38
78,13,0.0,0.0,11.0,2.0,14.63,12.38,2.25
83,17,0.0,0.0,17.0,0.0,19.13,19.13,0.0
84,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
87,10,0.0,0.0,0.0,10.0,11.25,0.0,11.25
95,11,0.0,0.0,4.0,7.0,12.38,4.5,7.88
96,7,0.0,0.0,0.0,7.0,7.88,0.0,7.88
102,3,0.0,0.0,3.0,0.0,3.38,3.38,0.0
120,9,0.0,0.0,9.0,0.0,10.13,10.13,0.0
124,7,0.0,0.0,0.0,7.0,7.88,0.0,7.88
129,13,0.0,0.0,13.0,0.0,14.63,14.63,0.0
132,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
139,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
149,3,0.0,0.0,1.0,2.0,3.38,1.13,2.25
156,4,0.0,0.0,4.0,0.0,4.5,4.5,0.0
162,4,0.0,0.0,0.0,4.0,4.5,0.0,4.5
165,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
181,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
186,14,0.0,0.0,13.0,1.0,15.75,14.63,1.13
191,12,0.0,0.0,3.0,9.0,13.5,3.38,10.13
194,6,0.0,0.0,0.0,6.0,6.75,0.0,6.75
207,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
210,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
215,4,0.0,0.0,0.0,4.0,4.5,0.0,4.5
228,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
239,4,0.0,0.0,0.0,4.0,4.5,0.0,4.5
249,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
264,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
290,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
312,6,0.0,0.0,0.0,6.0,6.75,0.0,6.75
317,3,0.0,0.0,0.0,3.0,3.38,0.0,3.38
322,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
323,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
356,8,0.0,0.0,7.0,1.0,9.0,7.88,1.13
361,4,0.0,0.0,4.0,0.0,4.5,4.5,0.0
378,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
381,6,0.0,0.0,0.0,6.0,6.75,0.0,6.75
382,2,0.0,0.0,2.0,0.0,2.25,2.25,0.0
384,6,0.0,0.0,0.0,6.0,6.75,0.0,6.75
406,6,0.0,0.0,6.0,0.0,6.75,6.75,0.0
416,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
418,4,0.0,0.0,0.0,4.0,4.5,0.0,4.5
423,9,0.0,0.0,0.0,9.0,10.13,0.0,10.13
429,3,0.0,0.0,0.0,3.0,3.38,0.0,3.38
436,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
439,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
485,7,0.0,0.0,2.0,5.0,7.88,2.25,5.63
488,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
506,3,0.0,0.0,3.0,0.0,3.38,3.38,0.0
516,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
517,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
526,9,0.0,0.0,9.0,0.0,10.13,10.13,0.0
529,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
541,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
569,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
595,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
601,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
608,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
610,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
625,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
638,7,0.0,0.0,2.0,5.0,7.88,2.25,5.63
644,1,0.0,0.0,1.0,0.0,1.13,1.13,0.0
649,5,0.0,0.0,5.0,0.0,5.63,5.63,0.0
655,3,0.0,0.0,0.0,3.0,3.38,0.0,3.38
680,8,0.0,0.0,0.0,8.0,9.0,0.0,9.0
700,5,0.0,0.0,5.0,0.0,5.63,5.63,0.0
713,5,0.0,0.0,5.0,0.0,5.63,5.63,0.0
770,2,0.0,0.0,0.0,2.0,2.25,0.0,2.25
775,4,0.0,0.0,0.0,4.0,4.5,0.0,4.5
797,8,0.0,0.0,8.0,0.0,9.0,9.0,0.0
803,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
804,4,0.0,0.0,4.0,0.0,4.5,4.5,0.0
807,10,0.0,0.0,10.0,0.0,11.25,11.25,0.0
810,34,0.0,0.0,14.0,20.0,38.25,15.75,22.5
815,11,0.0,0.0,0.0,11.0,12.38,0.0,12.38
817,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
824,6,0.0,0.0,6.0,0.0,6.75,6.75,0.0
827,1,0.0,0.0,0.0,1.0,1.13,0.0,1.13
830,5,0.0,0.0,0.0,5.0,5.63,0.0,5.63
836,3,0.0,0.0,0.0,3.0,3.38,0.0,3.38
838,5,0.0,0.0,4.0,1.0,5.63,4.5,1.13
841,13,0.0,0.0,0.0,13.0,14.63,0.0,14.63
853,33,0.0,0.0,10.0,23.0,37.13,11.25,25.88
